Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  7.27      0.91     0.91                             GetForces (forces.c:107 @ 2c04)
  6.79      1.76     0.85                             GetForces (forces.c:75 @ 2aac)
  6.71      2.60     0.84                             GetForces (forces.c:44 @ 29f0)
  5.11      3.24     0.64                             UpdateNeighbourlist (neighbourlist.c:52 @ 2458)
  4.63      3.82     0.58                             GetForces (forces.c:79 @ 2af4)
  4.55      4.39     0.57                             UpdateNeighbourlist (neighbourlist.c:61 @ 2494)
  3.67      4.85     0.46                             GetForces (forces.c:50 @ 2a00)
  3.19      5.25     0.40                             GetForces (forces.c:59 @ 2a38)
  3.19      5.65     0.40                             UpdateNeighbourlist (neighbourlist.c:58 @ 23fc)
  2.88      6.01     0.36                             UpdateNeighbourlist (neighbourlist.c:48 @ 2524)
  2.72      6.35     0.34                             GetForces (forces.c:53 @ 2a84)
  2.72      6.69     0.34                             UpdateNeighbourlist (neighbourlist.c:43 @ 2410)
  2.64      7.02     0.33                             UpdateNeighbourlist (neighbourlist.c:47 @ 251c)
  2.56      7.34     0.32                             UpdateNeighbourlist (neighbourlist.c:50 @ 243c)
  2.24      7.62     0.28                             GetForces (forces.c:68 @ 29dc)
  1.76      7.84     0.22                             GetForces (forces.c:105 @ 2bec)
  1.76      8.06     0.22                             UpdateNeighbourlist (neighbourlist.c:44 @ 2420)
  1.76      8.28     0.22                             UpdateNeighbourlist (neighbourlist.c:46 @ 2428)
  1.68      8.49     0.21                             GetForces (forces.c:62 @ 2a44)
  1.68      8.70     0.21                             GetForces (forces.c:93 @ 2ba4)
  1.68      8.91     0.21                             UpdateNeighbourlist (neighbourlist.c:54 @ 2460)
  1.60      9.11     0.20                             GetForces (forces.c:56 @ 2a1c)
  1.60      9.31     0.20                             GetForces (forces.c:102 @ 2bcc)
  1.52      9.50     0.19                             GetForces (forces.c:51 @ 2a7c)
  1.44      9.68     0.18                             GetForces (forces.c:96 @ 2b8c)
  1.36      9.85     0.17                             _init
  1.28     10.01     0.16                             GetForces (forces.c:57 @ 2a28)
  1.28     10.17     0.16                             GetForces (forces.c:44 @ 2c10)
  1.04     10.30     0.13                             GetForces (forces.c:93 @ 2b54)
  0.96     10.42     0.12                             GetForces (forces.c:104 @ 2be0)
  0.88     10.53     0.11                             GetForces (forces.c:60 @ 2a70)
  0.88     10.64     0.11                             GetForces (forces.c:84 @ 2b70)
  0.88     10.75     0.11                             UpdateNeighbourlist (neighbourlist.c:51 @ 2548)
  0.80     10.85     0.10                             GetForces (forces.c:96 @ 2b78)
  0.80     10.95     0.10                             GetForces (forces.c:102 @ 2bc0)
  0.80     11.05     0.10                             GetForces (forces.c:58 @ 2c84)
  0.80     11.15     0.10                             UpdateNeighbourlist (neighbourlist.c:52 @ 248c)
  0.72     11.24     0.09                             GetForces (forces.c:93 @ 2b64)
  0.72     11.33     0.09                             UpdateNeighbourlist (neighbourlist.c:51 @ 2448)
  0.64     11.41     0.08                             GetForces (forces.c:113 @ 2c18)
  0.64     11.49     0.08                             UpdateNeighbourlist (neighbourlist.c:54 @ 23e8)
  0.56     11.56     0.07                             GetForces (forces.c:106 @ 2bf8)
  0.48     11.62     0.06                             GetForces (forces.c:107 @ 2b5c)
  0.48     11.68     0.06                             GetForces (forces.c:85 @ 2b80)
  0.48     11.74     0.06                             GetTemperature (physical.c:78 @ 20b8)
  0.40     11.79     0.05                             GetForces (forces.c:93 @ 2b74)
  0.40     11.84     0.05                             GetForces (forces.c:98 @ 2b9c)
  0.40     11.89     0.05                             GetForces (forces.c:103 @ 2bd4)
  0.40     11.94     0.05                             UpdateNeighbourlist (neighbourlist.c:47 @ 2538)
  0.32     11.98     0.04                             GetForces (forces.c:33 @ 2958)
  0.32     12.02     0.04                             GetForces (forces.c:84 @ 2b40)
  0.32     12.06     0.04                             UpdateNeighbourlist (neighbourlist.c:67 @ 24a8)
  0.24     12.09     0.03                             GetEnergies (physical.c:106 @ 220c)
  0.24     12.12     0.03                             GetForces (forces.c:54 @ 2a94)
  0.24     12.15     0.03                             GetForces (forces.c:98 @ 2b30)
  0.24     12.18     0.03                             GetForces (forces.c:52 @ 2c78)
  0.24     12.21     0.03                             UpdateNeighbourlist (neighbourlist.c:47 @ 2434)
  0.16     12.23     0.02                             GetForces (forces.c:62 @ 29c8)
  0.16     12.25     0.02                             GetForces (forces.c:47 @ 29fc)
  0.16     12.27     0.02                             GetForces (forces.c:103 @ 2b58)
  0.16     12.29     0.02                             GetForces (forces.c:98 @ 2b94)
  0.16     12.31     0.02                             GetForces (forces.c:85 @ 2ba0)
  0.16     12.33     0.02                             GetForces (forces.c:98 @ 2bb4)
  0.16     12.35     0.02                             GetForces (forces.c:93 @ 2bb8)
  0.08     12.36     0.01                             GetForces (forces.c:28 @ 295c)
  0.08     12.37     0.01                             GetForces (forces.c:63 @ 2a50)
  0.08     12.38     0.01                             GetForces (forces.c:84 @ 2b14)
  0.08     12.39     0.01                             GetForces (forces.c:98 @ 2b4c)
  0.08     12.40     0.01                             GetForces (forces.c:98 @ 2b60)
  0.08     12.41     0.01                             GetForces (forces.c:90 @ 2b68)
  0.08     12.42     0.01                             GetForces (forces.c:93 @ 2b84)
  0.08     12.43     0.01                             GetForces (forces.c:85 @ 2b88)
  0.08     12.44     0.01                             GetForces (forces.c:38 @ 2c34)
  0.08     12.45     0.01                             Solve1 (solve.c:30 @ 2650)
  0.08     12.46     0.01                             Solve1 (solve.c:31 @ 2664)
  0.08     12.47     0.01                             Solve1 (solve.c:34 @ 268c)
  0.08     12.48     0.01                             Solve1 (solve.c:39 @ 26a4)
  0.08     12.49     0.01                             Solve1 (solve.c:42 @ 26c0)
  0.08     12.50     0.01                             Solve2 (solve.c:85 @ 2814)
  0.08     12.51     0.01                             UpdateNeighbourlist (neighbourlist.c:60 @ 2408)
  0.08     12.52     0.01                             main (main.c:163 @ 105c)
  0.00     12.52     0.00    30001     0.00     0.00  GetTemperature (physical.c:64 @ 2060)
  0.00     12.52     0.00    30000     0.00     0.00  GetEnergies (physical.c:97 @ 2140)
  0.00     12.52     0.00    30000     0.00     0.00  GetForces (forces.c:18 @ 2890)
  0.00     12.52     0.00    30000     0.00     0.00  Solve1 (solve.c:13 @ 2570)
  0.00     12.52     0.00    30000     0.00     0.00  Solve2 (solve.c:61 @ 2770)
  0.00     12.52     0.00     6000     0.00     0.00  UpdateNeighbourlist (neighbourlist.c:27 @ 2340)
  0.00     12.52     0.00      781     0.00     0.00  WriteAtoms (inout.c:197 @ 1c10)
  0.00     12.52     0.00        1     0.00     0.00  ReadAtoms (inout.c:152 @ 1a14)
  0.00     12.52     0.00        1     0.00     0.00  ReadParams (inout.c:30 @ 1340)
  0.00     12.52     0.00        1     0.00     0.00  SetTemperature (physical.c:12 @ 1ea4)
  0.00     12.52     0.00                             GetEnergies (physical.c:101 @ 2188)
  0.00     12.52     0.00                             GetEnergies (physical.c:102 @ 218c)
  0.00     12.52     0.00                             GetEnergies (physical.c:101 @ 2194)
  0.00     12.52     0.00                             GetEnergies (physical.c:102 @ 2198)
  0.00     12.52     0.00                             GetEnergies (physical.c:103 @ 21c4)
  0.00     12.52     0.00                             GetEnergies (physical.c:104 @ 21d8)
  0.00     12.52     0.00                             GetEnergies (physical.c:103 @ 21dc)
  0.00     12.52     0.00                             GetEnergies (physical.c:104 @ 21e0)
  0.00     12.52     0.00                             GetEnergies (physical.c:105 @ 21f8)
  0.00     12.52     0.00                             GetEnergies (physical.c:106 @ 2204)
  0.00     12.52     0.00                             GetEnergies (physical.c:103 @ 2208)
  0.00     12.52     0.00                             GetEnergies (physical.c:103 @ 2218)
  0.00     12.52     0.00                             GetEnergies (physical.c:108 @ 2220)
  0.00     12.52     0.00                             GetEnergies (physical.c:110 @ 2224)
