                         OUTPUT        EXPECTED
             y0               0               0
             x0               0               1
             y1               1               1
             x1               1               2
       inner[0]     +0.00000000     +1.00000000
       inner[1]     +0.00000000     +1.00000000
       inner[2]     +0.00000000     +1.00000000
       outer[0]     +0.00000000     +0.00000000
       outer[1]     +0.00000000     +0.00000000
       outer[2]     +0.00000000     +0.00000000
