                         OUTPUT        EXPECTED
             y0               0               1
             x0               0               0
             y1               1               2
             x1               3               1
       inner[0]     +0.54964125     +0.82446188
       inner[1]     +0.44091323     +0.54136085
       inner[2]     +0.28774834     +0.44610262
       outer[0]     +1.64892375     +0.82446188
       outer[1]     +1.56275773     +0.78137886
       outer[2]     +0.83428472     +0.41714236
