Entity,Year,gdp_growth,gdp_per_capita,Electricity from renewables (TWh),Capacity(MW),Investment(USDmn)
Algeria,2011,2.9,5455.679403,0.5,252.6,0.0
Algeria,2012,3.4,5592.220115,0.62,252.6,0.94
Algeria,2013,2.8,5499.587331,0.33,252.6,0.94
Algeria,2014,3.8,5493.056695,0.25,254.9,0.93
Algeria,2015,3.7,4177.889542,0.22,302.9,0.89
Algeria,2016,3.2,3946.452447,0.34,472.9,0.16
Algeria,2017,1.3,4109.698217,0.64,258.2,0.01
Algeria,2018,1.1,4142.018558,0.78,677.0,0.05
Algeria,2019,1.0,3989.668276,0.84,677.0,0.06
Algeria,2020,-5.1,3306.858208,0.72,677.0,0.0
Argentina,2011,6.003951693,12848.8642,32.43,280.07,69.26
Argentina,2012,-1.026420454,13082.66433,30.93,1529.12,256.24
Argentina,2013,2.405323781,13080.25473,35.03,1590.92,47.82
Argentina,2014,-2.512615321,12334.79825,34.37,1606.51,2466.14
Argentina,2015,2.731159828,13789.06042,33.97,576.42,109.83
Argentina,2016,-2.080327844,12790.24247,31.02,1670.89,250.16
Argentina,2017,2.818502978,14613.04182,33.4,1758.2,503.89
Argentina,2018,-2.617396463,11795.15939,34.97,1665.58,487.91
Argentina,2019,-2.025934237,10056.63794,34.63,1855.51,418.84
Argentina,2020,-9.895268964,8579.017773,37.05,3836.44,82.07
Australia,2011,2.469746294,62574.1457,27.33,8883.1,0.0
Australia,2012,3.917362463,68027.84171,26.63,12660.1,0.0
Australia,2013,2.600211881,68156.62792,34.2,14088.1,0.0
Australia,2014,2.562931521,62511.69059,36.15,15588.1,0.0
Australia,2015,2.172204753,56707.02208,33.12,16633.1,0.0
Australia,2016,2.741643069,49881.76371,38.41,17386.1,0.0
Australia,2017,2.295926947,53934.25018,40.77,18539.1,0.0
Australia,2018,2.87097248,57180.7794,42.93,20692.0,0.0
Australia,2019,2.113149425,54875.28596,53.41,25873.31,0.0
Australia,2020,-0.003836559,51692.84275,63.99,25014.31,0.0
Austria,2011,2.922797284,51374.95841,40.91,11217.81,434.3
Austria,2012,0.680445577,48567.69529,51.33,2958.81,85.07
Austria,2013,0.025504712,50716.70871,50.5,15734.52,284.43
Austria,2014,0.661272849,51717.49594,50.2,11251.48,405.47
Austria,2015,1.014501586,44178.04738,47.59,18472.75,295.08
Austria,2016,1.989437162,45276.83144,51.08,15556.04,68.14
Austria,2017,2.258572433,47312.00623,51.05,11542.12,202.4
Austria,2018,2.501595119,51461.43322,50.06,12410.61,36.79
Austria,2019,1.49121085,50114.40111,54.64,20773.56,0.0
Austria,2020,-6.734514076,48586.80132,55.42,7675.56,188.13
Bahamas,2011,-4.3,4221.407478,0.0,0.5,0.0
Bahamas,2012,-4.3,4221.407478,0.0,0.8,0.0
Bahamas,2013,-4.3,4221.407478,0.0,0.9,0.0
Bahamas,2014,-4.3,4221.407478,0.0,1.28,0.0
Bahamas,2015,-4.3,4221.407478,0.0,1.3,0.0
Bahamas,2016,-4.3,4221.407478,0.0,1.45,0.0
Bahamas,2017,-4.3,4221.407478,0.0,1.4,0.02
Bahamas,2018,-4.3,4221.407478,0.0,1.37,0.11
Bahamas,2019,-4.3,4221.407478,0.0,2.29,0.56
Bahamas,2020,-4.3,4221.407478,0.0,2.77,185.05
Belgium,2011,1.694513899,47348.52502,8.31,3459.6,0.0
Belgium,2012,0.739217283,44673.11588,10.51,5014.1,405.93
Belgium,2013,0.459242193,46744.66254,11.71,1004.1,0.0
Belgium,2014,1.578533143,47700.54036,12.21,2663.25,0.0
Belgium,2015,2.041459009,40991.80814,14.45,6362.8,294.36
Belgium,2016,1.266686409,41984.10303,14.25,6737.15,1378.73
Belgium,2017,1.619580278,44089.31009,15.8,2360.3,0.0
